,model_type,model,precision,prep_time,NMS_time,latency,inference_time,total_time,FPS,experiment_time
0,torch,yolov5n,fp32,3.5379027366638183,2.4093402862548827,5.947243022918701,313.7938805103302,319.74112353324887,3.1275301373487956,1676
1,torch,yolov5s,fp32,3.6909754276275635,2.4123515129089355,6.103326940536499,676.387961435318,682.4912883758544,1.4652201676884857,3476
2,torch,yolov5m,fp32,3.8090579509735107,2.4188559532165526,6.227913904190063,1427.3915014266968,1433.6194153308868,0.6975351960960955,7232
3,torch,yolov5l,fp32,3.752758264541626,2.2367719173431397,5.989530181884765,2589.4902461051943,2595.479776287079,0.3852852213052238,13043
4,torch,yolov5n6,fp32,3.875756549835205,2.424654817581177,6.300411367416382,316.8733829975128,323.1737943649292,3.0943102981635815,1679
5,torch,yolov5s6,fp32,3.9971220970153807,2.4428861618041995,6.44000825881958,691.7084713935851,698.1484796524046,1.4323600625727664,3554
6,torch,yolov5m6,fp32,3.6497082233428957,2.4303401470184327,6.080048370361329,1448.4132499694824,1454.4932983398437,0.6875246528405448,7341
7,torch,yolov5l6,fp32,3.948026323318482,2.415568971633911,6.363595294952393,2722.490300703049,2728.8538959980015,0.3664542104898138,13711
8,onnx,yolov5n,fp32,5.046710395812989,3.545842981338501,8.59255337715149,198.39857950210572,206.9911328792572,4.831124822063385,1118
9,onnx,yolov5s,fp32,4.8185607433319095,3.5169559478759767,8.335516691207886,452.07438826560974,460.4099049568176,2.171977599165229,2384
10,onnx,yolov5m,fp32,4.602972984313965,3.422461462020874,8.025434446334838,1075.2485981464386,1083.2740325927734,0.9231274542846186,5500
11,onnx,yolov5l,fp32,4.915349960327148,3.581766080856323,8.497116041183471,2114.992022943497,2123.4891389846803,0.4709230584895468,10703
12,onnx,yolov5n6,fp32,5.16586856842041,3.5077130794525146,8.673581647872926,200.52794423103333,209.20152587890627,4.78007985744252,1129
13,onnx,yolov5s6,fp32,4.681089925765991,3.6131821155548094,8.2942720413208,456.50807557106015,464.80234761238097,2.1514521282795753,2406
14,onnx,yolov5m6,fp32,4.702901792526245,3.7505270004272457,8.453428792953492,1089.2270994186401,1097.6805282115936,0.9110118785009874,5571
15,onnx,yolov5l6,fp32,4.741156005859375,3.9754427433013917,8.716598749160767,2166.3695676803586,2175.0861664295194,0.45975190106676794,10970
16,openvino,yolov5n,fp32,5.097601747512818,3.6553470134735107,8.752948760986328,110.54332246780396,119.29627122879029,8.382491671363033,707
17,openvino,yolov5s,fp32,5.932943820953369,4.126869058609009,10.05981287956238,255.46239328384402,265.5222061634064,3.7661633444872207,1457
18,openvino,yolov5m,fp32,5.715174102783203,4.82207760810852,10.537251710891724,604.8374198913574,615.3746716022491,1.6250262582246082,3214
19,openvino,yolov5l,fp32,5.822089290618897,6.911636018753052,12.733725309371948,1208.3702129364015,1221.1039382457734,0.8189311070739733,6239
20,openvino,yolov5n6,fp32,5.255872917175293,3.3872693538665772,8.64314227104187,115.2194676399231,123.86260991096496,8.073461399843108,713
21,openvino,yolov5s6,fp32,5.570933437347412,4.689691352844238,10.260624790191649,261.08065032958984,271.3412751197815,3.6853958158726776,1493
22,openvino,yolov5m6,fp32,6.054981231689453,5.220358037948608,11.27533926963806,606.2467650890351,617.5221043586731,1.6193752303628854,3227
23,openvino,yolov5l6,fp32,5.818824243545532,4.318712949752808,10.13753719329834,1209.1280239105224,1219.2655611038208,0.8201658702593747,6265
