,model_type,model,precision,prep_time,NMS_time,latency,inference_time,total_time,FPS,experiment_time
0,torch,yolov5n,fp32,3.6721219062805175,2.2119522094726562,5.884074115753174,304.9312174797058,310.815291595459,3.217344921695642,1615
1,torch,yolov5s,fp32,3.6302617073059085,2.2358294486999513,5.86609115600586,668.3419693946838,674.2080605506897,1.4832216618460556,3432
2,torch,yolov5m,fp32,3.52477765083313,2.3560843944549563,5.880862045288087,1421.997854232788,1427.8787162780761,0.7003395936922504,7203
3,torch,yolov5l,fp32,3.588410568237305,2.3056524753570558,5.894063043594361,2559.9822531223294,2565.8763161659235,0.3897303988113722,12893
4,torch,yolov5n6,fp32,3.8103472709655763,2.3586480140686037,6.16899528503418,315.37333087921144,321.5423261642456,3.110010467142029,1669
5,torch,yolov5s6,fp32,3.8747522830963135,2.4455557346343997,6.320308017730714,687.4206985473634,693.741006565094,1.4414601278238979,3529
6,torch,yolov5m6,fp32,3.7529194831848147,2.418427515029907,6.171346998214721,1445.8228142261505,1451.9941612243651,0.6887080035891948,7325
7,torch,yolov5l6,fp32,3.889661979675293,2.3337537765502927,6.223415756225586,2721.212720680237,2727.436136436462,0.36664469852868936,13703
8,onnx,yolov5n,fp32,4.9311725139617915,3.5735373497009277,8.504709863662718,199.8801549434662,208.38486480712893,4.798813008447385,1146
9,onnx,yolov5s,fp32,4.840948724746704,3.6662694454193114,8.507218170166015,445.2870780944824,453.7942962646484,2.2036416240384167,2350
10,onnx,yolov5m,fp32,4.7247209548950195,3.534821939468384,8.259542894363403,1056.8047893047333,1065.0643321990967,0.9389104204956757,5408
11,onnx,yolov5l,fp32,4.969901657104492,3.6514110565185547,8.621312713623047,2084.6898259639743,2093.3111386775972,0.4777120713319893,10549
12,onnx,yolov5n6,fp32,5.113286352157593,3.4572609424591065,8.5705472946167,201.44208326339722,210.0126305580139,4.761618371918635,1133
13,onnx,yolov5s6,fp32,4.811986017227173,3.7505274295806883,8.562513446807861,451.7820405960083,460.3445540428162,2.1722859349977037,2382
14,onnx,yolov5m6,fp32,4.922240972518921,3.9086254596710206,8.830866432189941,1067.020377922058,1075.851244354248,0.9294965314653927,5461
15,onnx,yolov5l6,fp32,4.539239835739136,3.8608102321624758,8.400050067901612,2083.3468474388123,2091.7468975067136,0.4780693119191255,10548
16,openvino,yolov5n,fp32,5.293426179885865,3.748948335647583,9.042374515533448,110.92196183204652,119.96433634757997,8.335810712132306,689
17,openvino,yolov5s,fp32,5.664683151245117,4.1580999374389656,9.822783088684083,257.3783305168152,267.2011136054993,3.7424993725004403,1460
18,openvino,yolov5m,fp32,5.892363834381103,4.564722728729248,10.457086563110352,593.4431780815124,603.9002646446228,1.6559025695881588,3146
19,openvino,yolov5l,fp32,6.603858184814453,5.671688508987427,12.27554669380188,1192.1765028953553,1204.4520495891572,0.8302530601704762,6171
20,openvino,yolov5n6,fp32,5.134137058258057,3.4989835262298583,8.633120584487916,113.85044784545899,122.48356842994691,8.164360434778962,703
21,openvino,yolov5s6,fp32,5.683266544342041,4.854530954360962,10.537797498703004,260.60308570861815,271.1408832073211,3.688119578910477,1479
22,openvino,yolov5m6,fp32,6.263558435440063,4.775079154968262,11.038637590408324,595.3619567871093,606.4005943775176,1.6490749007700432,3176
23,openvino,yolov5l6,fp32,5.940521144866944,4.231919670104981,10.172440814971925,1189.9423790931703,1200.1148199081424,0.8332536049146869,6160
