,model_type,model,precision,prep_time,NMS_time,latency,inference_time,total_time,FPS,experiment_time,detection_time
0,torch,yolov5n,fp32,2.724346897818825,1.9785241647200151,4.70287106253884,249.0286280892112,253.73149915175006,3.9411740495094247,454,454.1859257221222
1,torch,yolov5s,fp32,3.0318149653348057,2.247587550770153,5.279402516104959,529.9416329643943,535.2210354804993,1.8683869536298054,762,761.9923317432404
2,torch,yolov5m,fp32,3.1235179034146396,2.279595895247026,5.403113798661666,1128.4181495146318,1133.8212633132935,0.8819732283709021,1422,1421.9821813106537
3,torch,yolov5l,fp32,2.767546393654563,2.0172253522005947,4.784771745855158,2059.2968676306987,2064.0816393765535,0.48447696104793875,2446,2444.556079864502
4,torch,yolov5n6,fp32,3.0080498348582876,1.891164562918923,4.899214397777211,257.6838254928589,262.5830398906361,3.808319076572854,465,465.2949151992798
5,torch,yolov5s6,fp32,3.1956982612609863,2.0418089086359195,5.237507169896906,557.4148778481916,562.6523850180886,1.7772962963053132,793,792.5930542945862
6,torch,yolov5m6,fp32,2.814694968136874,1.9888088919899678,4.803503860126842,1211.051933331923,1215.8554371920497,0.8224661990322174,1513,1511.8993754386902
7,torch,yolov5l6,fp32,3.4336001222783867,2.2955979000438345,5.729198022322221,2230.044957074252,2235.7741550965743,0.4472723677033492,2637,2634.8772406578064
8,onnx,yolov5n,fp32,5.2794129198247735,3.2499911568381568,8.52940407666293,198.1863284111023,206.71573248776522,4.837561166560879,423,407.95523476600647
9,onnx,yolov5s,fp32,5.429816896265203,3.2867061008106577,8.716522997075861,444.7342350266196,453.45075802369547,2.205311122112501,687,680.6336114406586
10,onnx,yolov5m,fp32,5.439873825420033,3.1327980214899234,8.572671846909957,1071.0089672695506,1079.5816391164606,0.9262847419472687,1373,1369.8885338306427
11,onnx,yolov5l,fp32,5.973710146817294,3.474978316913951,9.448688463731244,2083.0703128467903,2092.5190013105216,0.4778929125010148,2491,2487.988480091095
12,onnx,yolov5n6,fp32,4.7447757287458945,3.11075514013117,7.855530868877064,200.29802083969116,208.15355170856824,4.80414574621374,412,409.18031001091003
13,onnx,yolov5s6,fp32,5.04891113801436,3.3724273334849966,8.421338471499357,450.5331826210022,458.9545210925016,2.178865125066393,690,687.2465524673462
14,onnx,yolov5m6,fp32,4.8043175177140665,3.3460016684098677,8.150319186123934,1077.224798636003,1085.3751178221269,0.9213404504855083,1379,1376.1379566192627
15,onnx,yolov5l6,fp32,5.0392582199790255,3.45341530713168,8.492673527110705,2120.1912491971793,2128.68392272429,0.4697738303581491,2531,2527.717230796814
16,openvino,yolov5n,fp32,4.599565375934948,2.5981623476201836,7.197727723555132,120.12010530991988,127.31783303347501,7.854359253326872,330,316.4475722312927
17,openvino,yolov5s,fp32,4.91912690075961,2.392303293401545,7.311430194161155,451.7247477444735,459.0361779386347,2.1784775319684777,694,682.1894173622131
18,openvino,yolov5m,fp32,5.397326296026056,4.1640025919133965,9.561328887939453,581.5221723643216,591.083501252261,1.6918083449824166,917,901.1077079772949
19,openvino,yolov5l,fp32,5.734343962235884,5.043366172096945,10.777710134332828,1171.3998231020842,1182.177533236417,0.845896637252381,1594,1574.5453193187714
20,openvino,yolov5n6,fp32,4.679711081764915,3.103501796722412,7.783212878487327,123.62250111319801,131.40571399168533,7.610019150790313,333,318.173800945282
21,openvino,yolov5s6,fp32,5.003419789400968,3.342147090218284,8.345566879619252,452.9036305167458,461.2491973963651,2.1680254527156833,698,682.951521396637
22,openvino,yolov5m6,fp32,5.043803995305842,3.8078342784534804,8.851638273759322,586.4030558412725,595.2546941150318,1.6799531526361249,928,907.9532952308655
23,openvino,yolov5l6,fp32,5.775963826612993,5.319681601090864,11.095645427703857,1176.056922349063,1187.1525677767668,0.8423517137925619,1605,1580.1886117458344
