,model_type,model,precision,prep_time,NMS_time,latency,inference_time,total_time,FPS,experiment_time,detection_time
0,openvino,yolov5n,fp32,4.66461333361539,2.9325762662020596,7.597189599817449,119.33735847473145,126.9345480745489,7.878075867987477,327,315.50492310523987
1,openvino,yolov5n,fp16,5.030874339017001,2.7341491525823423,7.765023491599344,131.43879977139562,139.20382326299497,7.18371073839488,339,327.3424391746521
2,openvino,yolov5n,int8,4.619763547723943,3.149418830871582,7.769182378595525,128.3341787078164,136.10336108641192,7.3473571263614925,336,323.07669711112976
3,openvino,yolov5s,fp32,5.245860489931974,3.0778965083035557,8.32375699823553,439.6059283343228,447.9296853325584,2.232493252278124,689,676.4827306270599
4,openvino,yolov5s,fp16,5.042546228928999,2.6455283164978027,7.688074545426802,227.81747146086258,235.5055460062894,4.246184503753869,445,433.68972086906433
5,openvino,yolov5s,int8,4.790431369434704,2.4669428305192427,7.257374199953947,240.29695055701518,247.55432475696912,4.039517390704959,462,448.3010377883911
6,openvino,yolov5m,fp32,5.298030593178489,4.334363720633767,9.632394313812256,582.0219841870394,591.6543785008516,1.6901759478799507,917,901.6244285106659
7,openvino,yolov5m,fp16,4.60083701393821,3.914862762797963,8.515699776736174,453.7949856844815,462.31068546121764,2.1630475596781076,716,700.2690134048462
8,openvino,yolov5m,int8,4.948639652945778,3.960551565343684,8.909191218289463,362.6572251319885,371.56641635027796,2.69130889121393,635,617.5821576118469
9,openvino,yolov5l,fp32,5.343092788349498,5.31942302530462,10.662515813654117,1187.749229561199,1198.411745374853,0.8344377496794381,1615,1595.5859875679016
10,openvino,yolov5l,fp16,5.417761585929177,4.3460562012412325,9.76381778717041,592.0617899027739,601.8256076899443,1.661610917219714,939,921.4808995723724
11,openvino,yolov5l,int8,5.4598986018787725,4.127516096288508,9.58741469816728,603.0970517071811,612.6844664053484,1.6321615037297288,952,930.9849236011505
12,openvino,yolov5n6,fp32,5.405871868133545,3.029307885603471,8.435179753737016,124.06149387359619,132.4966736273332,7.54735928550667,335,320.4815950393677
13,openvino,yolov5n6,fp16,4.802589416503906,3.2370974800803443,8.03968689658425,138.18658178502864,146.22626868161288,6.838716524849302,348,332.80537819862366
14,openvino,yolov5n6,int8,5.274787599390204,2.838840051130815,8.11362765052102,101.29495599053124,109.40858364105226,9.140050686341032,313,296.76411175727844
15,openvino,yolov5s6,fp32,4.953411925922741,2.7973838285966353,7.750795754519377,450.90358994223857,458.65438569675797,2.1802909362370206,698,682.327269077301
16,openvino,yolov5s6,fp16,4.5256616852500215,2.9326519099148833,7.458313595164904,230.7869542728771,238.245267868042,4.197355141399386,452,437.03023886680603
17,openvino,yolov5s6,int8,5.058407350019975,2.8084629232233222,7.866870273243297,266.56028032302856,274.4271505962719,3.643954316572586,493,476.0630931854248
18,openvino,yolov5m6,fp32,5.172170075503263,4.24368143081665,9.415851506319914,587.5650197809392,596.9808712872591,1.6750955484448238,932,911.8448796272278
19,openvino,yolov5m6,fp16,4.862864884463224,3.693511486053467,8.556376370516691,407.7815742926164,416.33795066313314,2.401894899101136,676,656.7636172771454
20,openvino,yolov5m6,int8,4.781380566683683,3.640180284326727,8.42156085101041,339.8903809894215,348.3119418404319,2.8709897074333393,617,595.0790402889252
21,openvino,yolov5l6,fp32,5.674271150068804,4.669158241965554,10.343429392034357,1187.650484605269,1197.9939139973033,0.8347287814370742,1613,1588.8287489414215
22,openvino,yolov5l6,fp16,5.527904683893377,5.563294454054399,11.091199137947775,621.4122791723772,632.5034783103249,1.5810189734788627,1002,978.2760789394379
