,model,img_size,precision,mAP50,mAP,mAP50_8class,mAP_8class,person_mAP.5,car_mAP.5,motorcycle_mAP.5,bus_mAP.5,truck_mAP.5,baseball_bat_mAP.5,knife_mAP.5,cell_phone_mAP.5,person_mAP,car_mAP,motorcycle_mAP,bus_mAP,truck_mAP,baseball_bat_mAP,knife_mAP,cell_phone_mAP,experiment_time
10,yolov5l,640,fp16,0.6665367902092766,0.47789390703235773,0.6898390735821485,0.471667935347832,0.8256948289734023,0.734441493189033,0.7524269864099606,0.8547283670111554,0.6382927548140075,0.6965918672006282,0.3908614667326936,0.6256748243263068,0.5871755369835433,0.4865698415078093,0.4874399054578185,0.7203807755746207,0.43882361352608157,0.39985244228202566,0.23275881886365118,0.4203425485871056,1427
11,yolov5l,640,fp32,0.6664181307991731,0.478635600145122,0.6894984725918721,0.4729973059433904,0.825632442010252,0.7342926030528893,0.7532994349426476,0.8546580553675527,0.6389686157885038,0.6930848537021895,0.3894079320993114,0.6266438437716303,0.5874312312577594,0.4873386916087468,0.48766992330425296,0.7220311523463784,0.4401978352941912,0.40307775552807756,0.23402032238909332,0.4222115358186234,2994
12,yolov5n6,1280,int8,0.450798943824819,0.2770467000897089,0.4875456534368053,0.2912662087400323,0.7288970365281424,0.5884788098528929,0.5643143161209007,0.7363965927395504,0.42623711312671364,0.3357948120825753,0.14827768964262647,0.37196885740104074,0.43747732906604453,0.33724843206111227,0.28654061028921807,0.5672939692324647,0.2608422691245019,0.15100642496558098,0.06776351552505203,0.2219571196562835,1816
13,yolov5n6,1280,fp16,0.5400530473306253,0.3469462387511327,0.5514125951379049,0.34019907702465524,0.7763624221820323,0.6380425507016312,0.6590395930461523,0.7814670854939122,0.4881668181946613,0.4187403233566344,0.20972858024700305,0.43975338788121177,0.4970080358971506,0.3821795908120972,0.3611094050060574,0.6196541515662732,0.3048615853513525,0.19057632968957577,0.10214551616642775,0.26405800170830734,1089
14,yolov5n6,1280,fp32,0.5401285615505159,0.34712347893384893,0.551489456509668,0.33977481401231957,0.7772950537191546,0.638019405863828,0.6614776817521646,0.7803467966864597,0.4883418140858524,0.4177848278420754,0.20751914058201532,0.44113093154579314,0.4973847520838521,0.3835887672185281,0.36126521829005,0.6193831315322063,0.3045619715341881,0.18731086087833335,0.10116788135532837,0.2635359292060703,1552
15,yolov5s6,1280,int8,0.6241496303074341,0.4168397958075743,0.6482978654248087,0.41286016076443205,0.8151412127848457,0.705270614141835,0.7387345498912761,0.8285584170859971,0.582006099761898,0.5767382679481105,0.34887716565406,0.5910565961304478,0.5393327613721826,0.44257204474222667,0.43949791148462836,0.6636408149889623,0.38535837272201273,0.27607625276973147,0.19075037231407196,0.36565275572164035,3039
16,yolov5s6,1280,fp16,0.6323960790510746,0.43420618394367827,0.6569917557402419,0.43145563869909653,0.8206833758039995,0.7150693358004645,0.7509916373851308,0.8316057209096914,0.5906168500273201,0.590837307604964,0.3493616384371493,0.6067681799532161,0.5617352470988275,0.4585890019336457,0.4551180939164049,0.684514140132925,0.39961043385793743,0.3118185919925624,0.1979364150804021,0.38232318558006734,1688
17,yolov5s6,1280,fp32,0.6324991306171344,0.4343550349293713,0.6559187180400157,0.431612205894493,0.8207687384602991,0.7156447544793143,0.7464121036780811,0.8311842013990133,0.5889221352254326,0.5891904418532479,0.3471871933408957,0.6080401758838414,0.5619703383136276,0.4596882461060957,0.45418402532982294,0.684539292879407,0.3982810845469938,0.3126999568126403,0.19797830930549903,0.3835563938618577,3433
18,yolov5m6,1280,int8,0.681199208802166,0.4847140745445867,0.7072789950451037,0.4866692722266781,0.8460871279011278,0.7609395816477315,0.7842403532289051,0.8697336268315163,0.62569036919707,0.6624618196379387,0.45952782051702884,0.6495512613995114,0.6016885968502462,0.5069393586191412,0.5069939844097241,0.7311927913400679,0.4447905070025806,0.3773621733829418,0.28398552081682155,0.44040124539190106,5771
19,yolov5m6,1280,fp16,0.6867168349816257,0.4982664657841841,0.7166502575241687,0.5028562581020642,0.8507114800281481,0.7671696460270029,0.7882269089981908,0.8737055168155524,0.632929956475395,0.685159078872597,0.4693268566686746,0.665972616307788,0.6178298439488159,0.5244355658433183,0.5231347283069913,0.7452594698461851,0.45233258625216183,0.3947943432556957,0.2991228275040415,0.46594069985930436,3292
20,yolov5m6,1280,fp32,0.6869069795931797,0.49844172187683017,0.7166566241619927,0.5033602299961913,0.8506847897246519,0.7673610063135161,0.7914834550321095,0.874124604199124,0.633171570390417,0.6812626618880426,0.46864988839592614,0.6665150173521548,0.6183516375056428,0.5245307549251312,0.5236923780360254,0.7474170851700175,0.451999298853148,0.3967630982952229,0.2987306430734117,0.46539694411093147,5781
