,model,precision,prep_time,NMS_time,latency,inference_time,total_time,FPS,experiment_time
0,yolov5n,int8,2.337548112869263,1.768181276321411,4.105729389190674,68.88695788383484,72.99268727302551,13.700002525726307,410
1,yolov5n,fp16,2.374600076675415,1.430059242248535,3.80465931892395,34.67108125686646,38.475740575790404,25.990402914537196,253
2,yolov5n,fp32,2.3621745586395266,2.0693668365478515,4.431541395187378,45.092685079574586,49.52422647476196,20.19213769062319,311
3,yolov5s,int8,2.309380531311035,2.0558454513549806,4.365225982666016,146.81233563423157,151.17756161689758,6.61473825417374,800
4,yolov5s,fp16,2.549609851837158,2.1765974998474125,4.72620735168457,60.3297658443451,65.05597319602967,15.371378689344233,392
5,yolov5s,fp32,2.756035280227661,2.809509468078613,5.565544748306274,104.74162607192994,110.30717082023622,9.065593764793999,639
6,yolov5m,int8,2.3247382640838623,1.6931139469146728,4.0178522109985355,309.2857801437378,313.3036323547363,3.1917919127977283,1610
7,yolov5m,fp16,3.0497063159942623,2.878777551651001,5.928483867645263,127.29497909545897,133.22346296310425,7.506185305188669,763
8,yolov5m,fp32,2.906248760223389,2.848623561859131,5.7548723220825195,254.92730817794802,260.68218050003054,3.836088826945664,1397
9,yolov5l,int8,2.1997583866119386,1.755626630783081,3.9553850173950194,552.891881942749,556.8472669601441,1.7958245632757575,2829
10,yolov5l,fp16,2.709670877456665,2.6728721141815184,5.382542991638184,247.74582324028017,253.12836623191836,3.950564746598931,1371
11,yolov5l,fp32,2.758587741851807,2.929982089996338,5.688569831848145,524.281589460373,529.9701592922211,1.8868986913065202,2749
12,yolov5n6,int8,9.233469152450562,4.684622764587402,13.918091917037964,315.48181357383726,329.3999054908752,3.035823578970946,1727
13,yolov5n6,fp16,9.615099811553954,5.032219171524048,14.647318983078002,153.3368145942688,167.9841335773468,5.95294316614467,956
14,yolov5n6,fp32,9.389935970306396,5.156487560272217,14.546423530578615,268.75860691070557,283.3050304412842,3.5297643619048023,1531
15,yolov5s6,int8,8.927440929412843,5.030945777893066,13.958386707305909,566.1847447395326,580.1431314468384,1.723712556082611,2987
16,yolov5s6,fp16,9.705197525024413,5.759062337875366,15.46425986289978,283.1850588798523,298.6493187427521,3.3484087765871355,1628
17,yolov5s6,fp32,9.564798974990845,5.033862733840942,14.598661708831788,679.2221281528473,693.820789861679,1.4412943725704173,3592
18,yolov5m6,int8,8.399726963043213,4.753249883651733,13.152976846694946,1191.6705033302305,1204.8234801769254,0.8299971045162171,6101
19,yolov5m6,fp16,10.250411748886108,7.218113374710083,17.46852512359619,595.1217665672302,612.5902916908265,1.632412419138857,3218
20,yolov5m6,fp32,10.374418830871582,7.458432197570801,17.832851028442384,1087.1622262477877,1104.99507727623,0.9049814072158233,5701
