,model,img_size,precision,mAP50,mAP,mAP50_8class,mAP_8class,person_mAP.5,car_mAP.5,motorcycle_mAP.5,bus_mAP.5,truck_mAP.5,baseball_bat_mAP.5,knife_mAP.5,cell_phone_mAP.5,person_mAP,car_mAP,motorcycle_mAP,bus_mAP,truck_mAP,baseball_bat_mAP,knife_mAP,cell_phone_mAP,experiment_time
0,yolov5n,640,int8,0.4314231790001692,0.24787113508957465,0.44083360141276473,0.24436714815165936,0.6793708211297177,0.5025362184275795,0.5801139747564206,0.6622326101099674,0.38428856646459864,0.30931386764379176,0.09652270122416587,0.3122900515458762,0.37804723103460447,0.267131242243343,0.2584006148699476,0.48249025635231596,0.2103767797416003,0.125431161702402,0.04716161937280068,0.18589827989626084,344
1,yolov5n,640,fp16,0.45486219798223254,0.2707592779133342,0.4596892623044856,0.258511901012762,0.6999073837140064,0.5132473038824604,0.5951781886862397,0.6797049524546632,0.3984619269841213,0.35216091153233664,0.11438555494193574,0.32446787624012124,0.4044901919031868,0.28364521404783255,0.27465063275597384,0.5039240835418739,0.2211901694381948,0.14229414622091546,0.048771945793746066,0.18912882440037262,288
2,yolov5n,640,fp32,0.45526737209963947,0.27078656358761377,0.45904134369796656,0.2585412465857698,0.7005029659339379,0.5136383241645212,0.5960520046554272,0.6798639031379401,0.39790708764594973,0.3442623494173893,0.11542367870857899,0.32468043591998763,0.40491208310568744,0.28356067067094454,0.27634589190270076,0.5039134312032462,0.2214126578300705,0.14179479429319997,0.04863925333243175,0.18775119034787774,319
3,yolov5s,640,int8,0.5541858113039659,0.3491968312148317,0.5619838666372421,0.3384407866802551,0.7544593357223895,0.6128128522017561,0.6653445623113713,0.7691352127986419,0.5099490323837728,0.4967093082834019,0.23623147898938643,0.45122915040721645,0.47135840765521786,0.3556965358396609,0.36556303793713985,0.6049268769209662,0.3030631139878573,0.2226917897099494,0.12446552778654422,0.2597610036047051,504
4,yolov5s,640,fp16,0.564543641989392,0.36370088766386655,0.5711079837442345,0.3500704109275782,0.762891570377463,0.6244171726142678,0.6769278079773049,0.7737022414787458,0.5176135356109803,0.5020525655007146,0.24049691218275165,0.4707620642116479,0.48740255715179925,0.37100984640881757,0.3699457637380608,0.6100052737194045,0.3163553411422767,0.22932849919310022,0.12922538373260822,0.2872906223345577,367
5,yolov5s,640,fp32,0.5647638342204753,0.3641977607222039,0.5713886311898352,0.3509278793741422,0.7629396708440745,0.6249602495965119,0.6763895815320802,0.7737708270083807,0.5177219185462868,0.5008692991300256,0.24487603283495393,0.46958147002636785,0.4879466179488624,0.3714411996351671,0.37034379453802707,0.6113688506983592,0.3170885404232508,0.22948505487672838,0.13090288170774175,0.288846095165001,491
6,yolov5m,640,int8,0.6293221357444063,0.42778323465507617,0.656779847553475,0.427349634583893,0.8031778308443034,0.6914636778729424,0.7450582165613004,0.8328889286280176,0.5897514226957639,0.6451725761464735,0.3558064158968575,0.5909197117821408,0.5412104073397542,0.4328577856239274,0.45028612889302577,0.6793854527314613,0.38838017189785273,0.35173092460474026,0.20393868055470316,0.37100752502567935,1042
7,yolov5m,640,fp16,0.6357048697953089,0.4403131649660989,0.6606574213829314,0.43863291173096386,0.8070037614556927,0.7010520132020042,0.746281643485571,0.836767791222733,0.5906150206094708,0.6400036959774322,0.354157469995199,0.6093779751153484,0.5553744483423525,0.45152861812959844,0.45918389983372687,0.69651537867509,0.3978792251818622,0.3585475152129492,0.20596311513035595,0.38407109334177575,651
8,yolov5m,640,fp32,0.6354706732988087,0.4403627044796884,0.6599688475711832,0.4382867192482983,0.8068223330573643,0.7020519026233364,0.7476705376455017,0.8367546854503104,0.5908705394641256,0.635539349176066,0.35151732004888814,0.6085241131038732,0.5557392720545502,0.45015887666693494,0.4600988395320883,0.6974814754716189,0.3987241106129798,0.3555492381923115,0.20409801666962396,0.38444392478627903,1031
9,yolov5l,640,int8,0.6601653100015609,0.4606742542492368,0.6840247361019819,0.45745435230350107,0.8186473695165445,0.7202287178748963,0.7588162038862751,0.8554405339954505,0.6329371811785383,0.6846982977485854,0.3752610669442286,0.6261685176713363,0.567929762846835,0.4640952144628329,0.4726140204075692,0.7021846417433825,0.4245644332781925,0.39072840508928663,0.22399233189097045,0.41352600870893913,1680
10,yolov5l,640,fp16,0.66653338730451,0.4779115818277063,0.6898383467083451,0.47166052258792945,0.8256894739212574,0.734441504169748,0.7524265154909647,0.8547283670111554,0.6382927548140075,0.6965918672006282,0.3908614667326936,0.6256748243263068,0.5871527883774179,0.4865689568679075,0.48743985836591885,0.7203451538333271,0.43882361352608157,0.39985244228202566,0.23275881886365118,0.4203425485871056,1164
11,yolov5l,640,fp32,0.6664179177507631,0.4786356593481934,0.6894982727139405,0.47299714528533354,0.8256322908272014,0.7342926030528893,0.7532991890449917,0.8546580553675527,0.6389686157885038,0.6930844024463931,0.389407181412362,0.6266438437716303,0.5874310526208264,0.48733792534609305,0.4876698873653648,0.7220311523463784,0.4401978352941912,0.4030775261707927,0.23402024732039836,0.4222115358186234,2031
12,yolov5n6,1280,int8,0.450798943824819,0.2770467000897089,0.4875456534368053,0.2912662087400323,0.7288970365281424,0.5884788098528929,0.5643143161209007,0.7363965927395504,0.42623711312671364,0.3357948120825753,0.14827768964262647,0.37196885740104074,0.43747732906604453,0.33724843206111227,0.28654061028921807,0.5672939692324647,0.2608422691245019,0.15100642496558098,0.06776351552505203,0.2219571196562835,1024
13,yolov5n6,1280,fp16,0.5400541561166433,0.34695356192342514,0.5514130027166314,0.34020251528189505,0.7763655326922362,0.6380425622118613,0.6590395930461523,0.7814670854939122,0.4881669568040398,0.4187403233566344,0.20972858024700305,0.43975338788121177,0.49703557306067286,0.3821795113232735,0.3611094050060574,0.6196541515662732,0.30486163373457253,0.19057632968957577,0.10214551616642775,0.26405800170830734,824
14,yolov5n6,1280,fp32,0.5401257787394694,0.3471226075175781,0.5514883964473566,0.33977473854388285,0.7772967484721838,0.6380149590564244,0.6614776817521646,0.780348682449413,0.4883418140858524,0.41778475974226437,0.20751159447475703,0.44113093154579314,0.4973855136007394,0.3835883402506934,0.36126521829005,0.619383672529775,0.3045619715341881,0.18731085406835227,0.10116640887119419,0.2635359292060703,966
15,yolov5s6,1280,int8,0.6241454557903472,0.4168613347167513,0.6481672067907132,0.4128900862050784,0.8151161453205944,0.7053051727509027,0.7375699195147647,0.8285745194611758,0.5819680435837944,0.5767432184518813,0.34882173834954644,0.591238896893046,0.5393839594092453,0.4425481357577971,0.4396745087718438,0.6636524648362416,0.38533839147287025,0.27608081160870224,0.19072128245935882,0.3657211353245681,1675
16,yolov5s6,1280,fp16,0.6323976374655358,0.43422044068581445,0.6569914731056329,0.43143359584504426,0.8206794692268964,0.7150709813006948,0.7509916373851308,0.8316057209096914,0.5906168500273201,0.590837307604964,0.3493616384371493,0.6067681799532161,0.5617544773965447,0.45856668611680124,0.4551180939164049,0.6843408828196338,0.39961043385793743,0.3118185919925624,0.1979364150804021,0.38232318558006734,1209
17,yolov5s6,1280,fp32,0.6324977877386433,0.4343547388825158,0.6559187230705271,0.43161177675363693,0.8207688556393564,0.7156446775443486,0.7464121036780811,0.8311842013990133,0.5889221352254326,0.5891904418532479,0.3471871933408957,0.6080401758838414,0.5619698606862253,0.45968687574600464,0.45418406588178123,0.684539292879407,0.3982813144624926,0.3126999568126403,0.19797640715933834,0.383556440401206,1784
18,yolov5m6,1280,int8,0.681199208802166,0.4847140745445867,0.7072789950451037,0.4866692722266781,0.8460871279011278,0.7609395816477315,0.7842403532289051,0.8697336268315163,0.62569036919707,0.6624618196379387,0.45952782051702884,0.6495512613995114,0.6016885968502462,0.5069393586191412,0.5069939844097241,0.7311927913400679,0.4447905070025806,0.3773621733829418,0.28398552081682155,0.44040124539190106,3039
19,yolov5m6,1280,fp16,0.6867170850184328,0.49830524268774284,0.716649243524941,0.5028453438447077,0.8507055873437153,0.7671669105405808,0.7882274251752247,0.8737055168155524,0.632929956475395,0.685159078872597,0.4693268566686746,0.665972616307788,0.6178127816364581,0.5243917111901331,0.5231305727776824,0.7452372282821845,0.45233258625216183,0.3947943432556957,0.2991228275040415,0.46594069985930436,2638
20,yolov5m6,1280,fp32,0.6869069025171279,0.498441941484422,0.7166566784061048,0.5033601774056952,0.8506852712918511,0.7673610063135161,0.7914834550321095,0.874124604199124,0.6331715227761139,0.6812626618880426,0.46864988839592614,0.6665150173521548,0.6183516340585246,0.5245305221173243,0.5236923780360254,0.7474170318884513,0.45199910907059426,0.3967630982952229,0.2987306430734117,0.4653970027060069,4143
