,path_dets,prep_time,normalize,inference,nms
0,"image 1/5000 C:\Users\104JVE\PycharmProjects\datasets\coco\images\val2017\000000000139.jpg: 960x960 2 persons, 1 wine glass, 3 chairs, 2 potted plants, 2 dining tables, 2 tvs, 2 refrigerators, 1 clock, 5 vases, ",0.01562047004699707,0.0,0.4530174732208252,0.0
1,"image 2/5000 C:\Users\104JVE\PycharmProjects\datasets\coco\images\val2017\000000000285.jpg: 960x960 1 bear, ",0.03124237060546875,0.0,0.9529011249542236,0.0
2,"image 3/5000 C:\Users\104JVE\PycharmProjects\datasets\coco\images\val2017\000000000632.jpg: 960x960 1 bottle, 1 chair, 2 potted plants, 1 bed, 4 books, 1 vase, ",0.03124547004699707,0.0,1.3746817111968994,0.0
3,"image 4/5000 C:\Users\104JVE\PycharmProjects\datasets\coco\images\val2017\000000000724.jpg: 960x960 1 car, 1 truck, 2 stop signs, ",0.0,0.0,1.8120977878570557,0.015599727630615234
4,"image 5/5000 C:\Users\104JVE\PycharmProjects\datasets\coco\images\val2017\000000000776.jpg: 960x960 1 teddy bear, ",0.0,0.015621662139892578,2.2494993209838867,0.015599727630615234
5,"image 6/5000 C:\Users\104JVE\PycharmProjects\datasets\coco\images\val2017\000000000785.jpg: 960x960 1 person, 1 skis, ",0.031239748001098633,0.015621662139892578,2.6868975162506104,0.015599727630615234
6,"image 7/5000 C:\Users\104JVE\PycharmProjects\datasets\coco\images\val2017\000000000802.jpg: 960x960 1 oven, 1 refrigerator, ",0.015620946884155273,0.015621662139892578,3.1242964267730713,0.015599727630615234
7,"image 8/5000 C:\Users\104JVE\PycharmProjects\datasets\coco\images\val2017\000000000872.jpg: 960x960 2 persons, 1 sports ball, ",0.01562190055847168,0.03124380111694336,3.5773136615753174,0.015599727630615234
8,"image 9/5000 C:\Users\104JVE\PycharmProjects\datasets\coco\images\val2017\000000000885.jpg: 960x960 12 persons, 1 sports ball, 1 tennis racket, ",0.01562356948852539,0.046864986419677734,3.999110221862793,0.03120279312133789
9,"image 10/5000 C:\Users\104JVE\PycharmProjects\datasets\coco\images\val2017\000000001000.jpg: 960x960 13 persons, 1 tennis racket, ",0.01561880111694336,0.046864986419677734,4.452131032943726,0.03120279312133789
10,"image 11/5000 C:\Users\104JVE\PycharmProjects\datasets\coco\images\val2017\000000001268.jpg: 960x960 4 persons, 1 boat, 1 bird, 1 handbag, ",0.0,0.06248784065246582,4.873910427093506,0.03120279312133789
11,"image 12/5000 C:\Users\104JVE\PycharmProjects\datasets\coco\images\val2017\000000001296.jpg: 960x960 2 persons, 2 cell phones, ",0.015616893768310547,0.06248784065246582,5.311312437057495,0.03120279312133789
